SMILES,QED,ChemAIrank
CN(CC(=O)Nc1ccc(N2CCCC2=O)cc1)C1CCc2ccccc21,88.61,26.21
CC(=O)N1CCc2cc(C(=O)NCC(c3ccco3)N(C)C)ccc21,90.56,28.89
CCN(CC)c1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)CN1C(=O)NC2(CCC(C)CC2)C1=O,48.74,31.5
Cc1ccc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)cc1S(=O)(=O)N1CCCCCC1,61.58,31.23
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)CN1C(=O)NC2(CCCCCC2)C1=O,54.17,33.6
Cc1cc(C(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)c(C)n1Cc1cccs1,59.69,26.21
Cc1cc(C(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)c(C)n1CCc1ccc(F)cc1,54.25,29.08
COC(=O)c1c(NC(=O)CN2C(=O)NC3(CCCCCC3)C2=O)sc2c1CCC2,57.66,25.01
CC1CCC2(CC1)NC(=O)N(CC(=O)Nc1sc3c(c1C(=O)OC(C)C)CCC(C)C3)C2=O,49.68,37.28
CCOC(=O)c1c(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)sc2c1CCC2,54.88,24.42
Cc1ccc2c(CN3C(=O)NC4(CCC(C)CC4)C3=O)cc(=O)oc2c1C,65.07,28.49
CC(=O)Nc1cccc(NC(=O)CN(C)C(C)c2cnc3ccnn3c2C)c1,68.59,28.14
CN(C(=O)Nc1cnc(C(C)(C)C)nc1)C1CCc2ccccc21,91.05,25.87
CCC(C)n1c(SCCOc2ccc(Br)cc2)nc2sc3c(c2c1=O)CCCC3,22.2,26.54
CCC(C)n1c(SCC(=O)Nc2ccccc2)nc2sc3c(c2c1=O)CCCC3,44.22,25.62
CCC(C)n1c(SCC(=O)c2ccccc2)nc2sc3c(c2c1=O)CCCC3,31.38,25.83
CC(NC(=O)c1[nH]nc2ccccc12)C(=O)NCCCn1nc2ccccn2c1=O,38.88,28.65
N#Cc1cccc(C(=O)Nc2sc3c(c2C(=O)NCC2CCCO2)CCCC3)c1,78.84,25.07
CCCc1noc2nc(C3CC3)cc(C(=O)Nc3ccccc3C(C)=O)c12,65.15,25.7
O=C(Nc1ccc(N2CCOCC2)nc1)c1cccc(OCc2cn3ccccc3n2)c1,50.61,29.46
O=C(NCCc1cnn(-c2ccccc2)c1)c1ccc2ncsc2c1,60.08,25.54
CN(C)C(CNC(=O)c1cc2c(s1)-c1ccccc1CC2)c1cccs1,69.89,24.6
COc1cc(CN(C)C(=O)c2c(-c3c(F)cccc3Cl)noc2C)ccc1OC(F)F,48.29,29.63
Cc1ccccc1C1CC1C(=O)Nc1cc2c(cc1F)NC(=O)CC2,89.51,28.2
O=c1[nH]c(CN2CCN(Cc3ccc(-n4cccn4)cc3)CC2)nc2scc(-c3cccs3)c12,38.77,33.33
CCn1c(=O)c(=O)[nH]c2cc(C(=O)N(C)C(C)c3ccc(Cl)cc3Cl)ccc21,65.19,28.18
Cc1nc(-c2ccccn2)sc1C(=O)Nc1ccc(S(=O)(=O)N(C)C(C)C)cc1,64.22,26.42
CC(C(=O)N1CCCC1)N1CCN(c2oc(C3CC3)nc2C#N)CC1,82.56,29
Cc1ccc(C)c(-n2cnc3cc(C(=O)N4CCCC(CCC(N)=O)C4)ccc32)c1,70.29,30.39
N#Cc1c(NC(=O)CSc2nnc(-c3c[nH]c4ccccc34)o2)sc2c1CCCCC2,32.22,24.4
COc1ccc(C2CCCCCN2C(=O)c2cnc3c(c2)c(C)nn3C)cc1,69,25.4
COc1cn(-c2ccccc2)nc1C(=O)N(C)Cc1ccccc1N1CCOCC1,62.99,30.68
Cc1nn(CC(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)c(=O)c(C#N)c1C,66.31,40.46
Cc1ccc(NC(=O)C2CCCN(C(=O)C3Cc4ccc(C)cc4S3)C2)nc1,86.27,24.18
Cc1nc(C2(NC(=O)c3sc4nc(C5CC5)nc(C)c4c3C)CCCCC2)no1,68.08,24.02
CC1CCc2c(sc3nc(SCC(=O)Nc4ccc5c(c4)OCO5)n(-c4ccccc4)c(=O)c23)C1,30.26,27.66
CC1CCc2c(sc3nc(SCC(=O)c4c[nH]c5ccccc45)n(-c4ccccc4)c(=O)c23)C1,18.75,27.37
Cc1cc(NC(=O)CSc2nc3sc4c(c3c(=O)n2-c2ccccc2)CCC(C)C4)no1,34.15,26.22
CC1CCc2c(sc3nc(SCC(=O)Nc4ccc(C(N)=O)cc4)n(-c4ccccc4)c(=O)c23)C1,29.89,39.06
Cc1cnc(NC(=O)Cc2c(C)nn(-c3ccc(C(F)(F)F)cn3)c2C)s1,72.84,26.02
CC1CCc2c(sc3nc(SCC(=O)Nc4ccc(F)c(Cl)c4)n(-c4ccccc4)c(=O)c23)C1,25.87,36.25
